,gesamtmiete,pred
4359,660.0,571.2
8609,370.0,505.7
9,720.0,514.0
10851,344.0,333.3
3212,600.0,499.8
1663,500.0,492.9
3331,550.0,390.5
7516,415.0,496.1
13088,450.0,481.9
5677,450.0,439.4
4534,450.0,525.8
1775,350.0,461.5
5143,440.0,414.7
7561,400.0,404.1
9678,285.0,314.9
2861,360.0,464.3
9687,580.0,571.3
11598,670.0,523.6
3746,510.0,488.3
7171,498.0,563.0
7439,400.0,426.5
13727,500.0,529.6
18,189.0,408.4
6509,338.0,394.0
4486,680.0,475.7
7937,300.0,288.8
1924,700.0,557.7
14476,550.0,534.3
9942,730.0,649.9
6276,580.0,616.1
1872,575.0,400.9
2267,549.0,500.3
3955,475.0,545.2
3249,600.0,483.5
2698,310.0,339.9
2395,550.0,601.4
4386,650.0,556.8
2079,450.0,549.1
3706,390.0,454.9
6173,650.0,502.5
7929,475.0,448.0
8025,310.0,394.8
1075,400.0,434.2
751,450.0,345.6
9407,760.0,664.5
10727,450.0,551.2
2597,310.0,461.0
10874,470.0,439.4
10618,330.0,414.9
4150,570.0,547.3
2907,500.0,471.7
593,550.0,502.4
9655,550.0,485.0
1497,500.0,502.1
4742,460.0,517.1
2502,600.0,497.4
4629,525.0,509.7
7234,428.0,553.5
14477,550.0,539.6
12260,535.0,553.6
1523,491.0,493.4
13023,570.0,469.1
4292,750.0,645.0
2393,600.0,535.8
12882,312.0,326.9
723,360.0,340.8
647,281.0,365.6
11246,390.0,502.6
11675,700.0,563.7
4805,500.0,516.6
4789,500.0,459.5
5808,470.0,448.0
795,395.0,466.1
5161,470.0,486.2
11987,420.0,430.6
7273,400.0,507.0
5210,620.0,516.4
14173,700.0,458.5
4448,825.0,667.9
13856,370.0,501.7
6707,565.0,603.1
11745,250.0,452.1
8950,485.0,486.8
3335,450.0,697.4
5885,480.0,413.7
5813,405.0,399.3
12829,375.0,410.1
11032,320.0,327.3
12656,558.0,457.7
7908,320.0,426.2
5426,400.0,453.5
3033,400.0,383.5
2623,355.0,431.7
8654,256.0,353.1
13031,575.0,532.9
12721,575.0,631.6
5504,520.0,495.4
13298,484.0,551.2
9256,600.0,551.9
6330,555.0,376.7
4318,690.0,645.7
6413,250.0,281.4
9438,375.0,388.0
6272,380.0,372.1
8045,490.0,549.9
5046,530.0,527.1
1030,575.0,584.7
6169,485.0,594.0
6013,680.0,513.3
5501,360.0,422.7
14532,440.0,421.5
11447,300.0,406.9
1271,410.0,441.4
8409,381.0,350.1
649,498.0,507.0
14438,500.0,646.3
10327,379.0,384.7
10461,299.0,435.1
45,600.0,587.3
1198,589.0,558.6
9832,410.0,442.5
2507,414.0,432.3
484,663.0,674.8
10925,365.0,575.0
8217,630.0,618.9
10049,385.0,432.7
8852,480.0,430.9
10770,550.0,341.7
11192,380.0,466.5
7601,380.0,403.4
1768,630.0,463.5
5057,550.0,557.5
5347,433.0,506.1
6225,460.0,421.8
6589,385.0,469.0
11894,500.0,537.9
7703,450.0,467.1
3185,305.0,380.8
7058,550.0,576.4
2182,631.0,593.1
12426,590.0,557.1
11439,550.0,551.0
8981,300.0,373.4
85,598.0,559.9
14206,890.0,796.5
4704,460.0,516.2
12837,210.0,324.3
6238,560.0,526.2
13931,399.0,491.1
9375,566.0,503.7
948,470.0,477.8
7553,550.0,515.9
13513,520.0,528.8
2336,780.0,721.7
5225,570.0,522.2
14060,550.0,621.2
13590,490.0,479.7
8512,350.0,341.6
10010,590.0,602.4
2549,580.0,530.5
14376,320.0,439.3
3525,590.0,589.8
5518,550.0,475.0
112,500.0,415.4
1829,550.0,538.8
4454,740.0,677.0
5979,500.0,433.8
5668,630.0,551.7
9788,450.0,431.1
2879,400.0,478.3
3387,500.0,566.9
11516,695.0,639.7
4121,460.0,476.5
3396,560.0,557.5
4145,355.0,433.4
14429,500.0,503.7
12396,430.0,494.4
5100,625.0,567.8
1363,535.0,551.7
3744,510.0,506.9
6269,450.0,482.1
1213,550.0,453.5
809,690.0,598.7
4238,456.0,539.4
6400,415.0,383.2
4904,550.0,490.6
2449,550.0,552.7
7318,620.0,628.3
12320,350.0,596.4
10516,200.0,328.2
8856,660.0,640.2
9700,620.0,528.5
1614,640.0,547.0
6396,415.0,353.4
8238,273.0,429.6
14406,405.0,532.8
5859,500.0,519.7
4930,470.0,397.8
9213,450.0,529.1
9853,510.0,439.4
5164,525.0,573.0
2307,580.0,590.0
9783,390.0,443.1
9301,490.0,509.9
12346,500.0,611.7
796,500.0,330.6
10466,486.0,489.3
6845,250.0,387.9
3663,489.0,427.7
12644,610.0,534.8
7205,550.0,648.1
3921,400.0,426.2
5958,590.0,607.3
7731,375.0,481.0
8371,345.0,395.0
11680,450.0,488.1
756,430.0,453.6
11882,548.0,522.0
11288,700.0,493.8
941,425.0,425.7
13745,492.0,562.3
9784,420.0,455.6
4992,460.0,498.3
11074,652.0,474.4
3975,520.0,443.0
12222,550.0,471.1
4432,690.0,570.9
12296,400.0,549.4
8908,510.0,412.1
1786,500.0,395.6
7429,515.0,465.3
9506,500.0,613.3
8549,395.0,413.4
9123,459.0,478.5
5484,554.0,483.8
10839,490.0,430.8
1021,650.0,510.8
1548,400.0,644.5
5104,450.0,647.0
7732,450.0,415.8
8459,270.0,340.3
4836,430.0,471.2
10246,562.0,560.9
8199,570.0,569.7
2231,600.0,516.4
9422,335.0,477.9
1969,520.0,564.0
13051,280.0,262.1
12245,500.0,547.9
366,780.0,623.1
11023,223.0,338.4
11686,560.0,549.1
5821,600.0,412.1
2873,333.0,368.9
7301,320.0,453.3
12371,660.0,544.9
12331,500.0,498.0
12776,470.0,511.0
13903,930.0,535.2
11031,329.0,316.3
13707,690.0,668.1
14080,550.0,429.9
12783,585.0,541.7
12923,340.0,458.7
1632,610.0,602.4
1806,600.0,508.9
13943,400.0,439.9
9197,435.0,452.6
9404,590.0,540.8
613,590.0,635.6
3731,510.0,506.9
3690,600.0,539.3
13743,400.0,452.8
7441,400.0,434.0
3619,620.0,609.3
7522,320.0,392.1
9071,700.0,618.2
3319,470.0,417.2
2747,495.0,523.2
5870,430.0,421.1
9534,410.0,523.7
346,775.0,684.6
10595,500.0,446.2
11484,425.0,515.3
1947,620.0,533.6
13291,650.0,537.7
12601,265.0,388.2
13077,450.0,544.1
8647,320.0,381.6
11458,360.0,363.4
3890,390.0,506.5
6998,460.0,459.4
8038,392.0,377.3
872,500.0,608.9
1117,499.0,531.2
4738,550.0,506.9
13726,557.0,580.9
8398,600.0,507.2
8764,480.0,473.5
935,425.0,399.4
10879,470.0,516.8
10286,388.0,394.4
11731,590.0,467.8
5228,525.0,590.9
5187,751.0,770.8
12771,650.0,573.8
2743,450.0,474.7
10008,722.0,622.2
9094,630.0,618.8
5997,500.0,443.3
13944,460.0,411.7
1028,421.0,510.9
8581,550.0,517.5
2305,650.0,577.9
13810,550.0,500.7
11998,550.0,611.6
3338,550.0,544.7
13234,421.0,423.8
4811,330.0,434.5
12693,850.0,703.4
8610,320.0,367.1
7360,470.0,437.6
2612,575.0,496.1
2825,340.0,383.6
8680,495.0,467.6
9155,670.0,576.5
5300,650.0,649.2
12540,570.0,442.5
3596,600.0,602.5
4287,470.0,490.5
2953,550.0,435.6
2586,512.0,552.4
3558,740.0,580.3
14031,550.0,727.9
7411,450.0,437.0
8477,550.0,479.4
973,350.0,429.8
8043,500.0,477.7
3667,680.0,578.0
5905,550.0,557.1
1834,350.0,428.5
6283,545.0,561.0
11897,540.0,618.4
3075,430.0,415.7
8084,590.0,541.0
5229,450.0,549.9
6723,400.0,447.2
5466,345.0,477.0
104,300.0,391.3
2257,600.0,593.9
9464,300.0,382.3
1027,575.0,546.3
5131,625.0,496.4
11575,360.0,412.4
14098,400.0,683.9
3194,315.0,324.0
2055,600.0,433.8
4214,550.0,595.9
6522,560.0,458.4
3983,395.0,462.5
3749,510.0,506.9
6266,306.0,468.3
13495,485.0,469.5
3476,650.0,553.5
1057,320.0,376.4
12968,385.0,411.5
8737,500.0,406.7
6559,344.0,352.4
4345,680.0,647.4
12574,390.0,369.1
12029,830.0,725.8
7484,480.0,518.2
1842,470.0,498.9
2451,640.0,531.3
10092,292.0,353.2
12354,340.0,419.1
5453,500.0,396.8
6841,650.0,550.9
14274,770.0,614.0
6010,310.0,442.8
8618,263.0,328.5
3726,510.0,506.9
10326,359.0,375.5
6680,465.0,477.3
4343,353.0,460.6
8322,370.0,533.4
8086,440.0,454.2
2601,630.0,541.2
6155,570.0,592.4
3165,370.0,439.2
8751,335.0,428.1
9468,655.0,651.5
5834,738.0,478.5
2585,575.0,541.8
5889,445.0,459.0
11917,300.0,395.6
1190,405.0,371.8
5646,790.0,728.1
8114,500.0,585.0
9792,400.0,474.6
2394,480.0,464.3
14056,680.0,637.2
396,420.0,432.0
1849,440.0,495.7
8703,535.0,483.2
13342,520.0,457.5
10854,580.0,473.9
7119,380.0,530.4
10532,420.0,452.9
7110,600.0,637.6
11569,540.0,489.9
13053,500.0,523.7
4676,600.0,507.5
13578,375.0,378.4
9016,585.0,462.3
13897,540.0,508.7
10734,350.0,417.5
6691,405.0,449.7
10824,515.0,517.8
6038,675.0,494.2
6011,700.0,653.5
13917,550.0,485.8
1515,393.0,430.8
3560,555.0,558.1
9503,300.0,425.0
13280,563.0,464.0
6849,670.0,595.0
11235,365.0,430.7
367,800.0,558.2
7755,420.0,433.8
11512,580.0,454.4
3132,450.0,488.1
9352,500.0,508.5
3803,325.0,431.6
2040,380.0,452.3
5588,550.0,643.5
9241,327.0,382.3
5126,575.0,477.1
10815,530.0,423.7
10216,600.0,518.4
7851,396.0,436.8
972,450.0,503.3
9608,335.0,383.7
4353,610.0,476.4
474,338.0,371.5
13140,680.0,531.8
3982,500.0,533.4
3392,550.0,423.9
7195,320.0,571.0
10886,550.0,517.9
5555,450.0,545.6
8388,480.0,498.5
13857,480.0,512.4
1699,640.0,577.2
10239,400.0,447.2
11333,420.0,512.4
7915,400.0,489.1
9803,375.0,323.4
10982,435.0,384.1
2087,730.0,393.7
8850,335.0,409.1
2543,570.0,536.1
6743,590.0,445.3
13601,650.0,568.2
9934,400.0,473.2
5920,480.0,379.9
12609,600.0,467.6
8803,480.0,475.2
6506,430.0,390.3
1100,500.0,619.9
3227,400.0,420.0
519,900.0,810.9
7994,650.0,550.8
2082,650.0,632.9
5508,650.0,635.4
9096,420.0,420.2
10141,843.0,699.9
420,880.0,759.0
10173,335.0,388.9
9066,430.0,394.1
9307,613.0,627.5
12257,450.0,512.7
14503,359.0,466.1
3899,390.0,495.5
663,400.0,486.4
2000,450.0,413.6
5336,430.0,450.1
3747,510.0,506.9
7479,400.0,450.6
13302,500.0,468.2
1033,600.0,514.1
6994,695.0,674.4
5195,517.0,520.8
12669,730.0,498.8
11555,435.0,521.0
2971,385.0,371.4
