,gesamtmiete,pred,diff
0,380.0,498.5245735305396,118.52457353053961
1,520.0,482.1812978464147,37.81870215358532
2,600.0,503.6059726646261,96.39402733537389
3,620.0,463.34733733226,156.65266266774
4,580.0,457.99738342051285,122.00261657948715
5,517.0,502.66558423998913,14.33441576001087
6,615.0,555.0780458315315,59.92195416846846
7,710.0,664.7281540282637,45.2718459717363
8,520.0,513.5673316361876,6.432668363812354
9,400.0,468.5653125518438,68.56531255184382
10,700.0,631.6792136397954,68.32078636020458
11,370.0,445.33971132117523,75.33971132117523
12,400.0,442.31268806048485,42.312688060484845
13,580.0,665.9099370264726,85.90993702647256
14,351.0,418.8926330782197,67.89263307821972
15,600.0,475.7206518220823,124.27934817791771
16,586.0,559.8653687512905,26.134631248709525
17,525.0,587.0475474097814,62.04754740978137
18,460.0,400.3150399041989,59.6849600958011
19,700.0,610.9016849176835,89.0983150823165
20,550.0,535.7947873947652,14.205212605234806
21,700.0,566.1964052931312,133.8035947068688
22,450.0,467.36403214527473,17.364032145274734
23,430.0,510.0997092772392,80.09970927723919
24,435.0,444.4232668545462,9.423266854546227
25,440.0,519.9184812717651,79.91848127176513
26,790.0,743.6455181817958,46.35448181820425
27,380.0,333.47766744481055,46.52233255518945
28,677.0,583.5809217709007,93.41907822909934
29,641.0,642.8422176262977,1.8422176262977246
30,405.0,411.6201977052352,6.620197705235228
31,400.0,469.32978207059557,69.32978207059557
32,485.0,496.1200533614973,11.120053361497298
33,500.0,455.6733717368126,44.32662826318739
34,405.0,408.02760789700545,3.0276078970054527
35,350.0,362.12770842200524,12.127708422005242
36,535.0,527.7150186733144,7.2849813266856245
37,560.0,548.2089964608497,11.791003539150324
38,575.0,564.728695518698,10.271304481301968
39,599.0,563.7342234730002,35.265776526999844
40,500.0,592.6386888909155,92.63868889091555
41,550.0,568.0223896428905,18.022389642890516
42,550.0,422.383001002191,127.61699899780899
43,700.0,642.8341054528798,57.16589454712016
44,491.0,476.9956316725222,14.004368327477778
45,350.0,454.58067997549415,104.58067997549415
46,480.0,351.02192183104114,128.97807816895886
47,475.0,478.5465561817862,3.5465561817861726
48,600.0,512.4318367976449,87.5681632023551
49,435.0,427.52598322791414,7.474016772085861
50,663.0,663.09976128686,0.09976128686002994
51,450.0,419.89643483116873,30.103565168831267
52,490.0,638.868677348306,148.86867734830605
53,632.0,545.2658444430775,86.73415555692247
54,600.0,481.72861821506166,118.27138178493834
55,875.0,630.5242537548888,244.47574624511117
56,520.0,520.5159727246225,0.515972724622543
57,447.0,430.62400243854285,16.375997561457154
58,430.0,419.07794587677625,10.922054123223745
59,260.0,403.8009411883358,143.8009411883358
60,700.0,700.0997983157703,0.09979831577027198
61,335.0,488.0399171034888,153.0399171034888
62,500.0,499.6941713143806,0.30582868561941723
63,262.0,443.2178857210644,181.21788572106442
64,663.0,663.09976128686,0.09976128686002994
65,370.0,385.2342099191968,15.234209919196815
66,500.0,409.7989310907514,90.20106890924859
67,410.0,392.4567856197899,17.543214380210088
68,480.0,534.3653831995172,54.36538319951717
69,900.0,557.6999860525539,342.30001394744613
70,500.0,486.6487031917781,13.351296808221889
71,500.0,440.2660325718537,59.733967428146286
72,435.0,489.83514679613006,54.83514679613006
73,580.0,646.4399863150592,66.43998631505917
74,260.0,330.5939904807452,70.59399048074522
75,363.0,558.4438358658174,195.4438358658174
76,367.0,367.10011657992027,0.10011657992026812
